,SiteName,app,date,device_id,fmt_opt,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_h0,s_t0,tick,time,timestamp,ver_app,ver_format
0,74DA38C7D37E,AirBox,2018-12-07,74DA38C7D37E,1,2.0,1.0,24.875,120.995,9.0,10558.0,100.0,1.0,0.0,1.0,1.0,0.0,62.0,26.5,1544215635.0,20:47:15,2018-12-07T20:47:15Z,0.35.2,3
1,苗栗縣縣立南埔國小,AirBox,2018-12-07,74DA38F20A3A,1,2.0,1.0,24.635,120.973,9.0,619.0,100.0,1.0,0.0,0.0,0.0,0.0,75.0,21.37,1544215968.0,20:52:48,2018-12-07T20:52:48Z,1.0.7,3
2,苗栗縣縣立田美國小,AirBox,2018-12-07,74DA38F20A3C,1,2.0,1.0,24.629,121.008,9.0,618.0,100.0,1.0,0.0,0.0,0.0,0.0,82.0,19.75,1544216223.0,20:57:03,2018-12-07T20:57:03Z,1.0.7,3
3,74DA38B0538C,AirBox,2018-12-07,74DA38B0538C,1,2.0,1.0,0.0,0.0,9.0,238.0,100.0,1.0,0.0,0.0,0.0,0.0,60.0,29.0,1544216168.0,20:56:08,2018-12-07T20:56:08Z,1.0.7,3
4,74DA38C7D1CE,AirBox,2018-12-07,74DA38C7D1CE,1,2.0,1.0,25.053,121.454,9.0,1517.0,100.0,1.0,0.0,0.0,0.0,0.0,65.0,27.25,1544215863.0,20:51:03,2018-12-07T20:51:03Z,0.35.2,3
5,74DA38F20B88,AirBox,2018-12-07,74DA38F20B88,1,2.0,1.0,22.75,120.316,9.0,103.0,100.0,1.0,0.0,25.0,26.0,16.0,68.0,23.5,1544215404.0,20:43:24,2018-12-07T20:43:24Z,1.0.7,3
6,74DA38F20B86,AirBox,2018-12-07,74DA38F20B86,1,2.0,1.0,22.733,120.248,9.0,161.0,100.0,1.0,0.0,23.0,25.0,14.0,68.0,24.62,1544215552.0,20:45:52,2018-12-07T20:45:52Z,1.0.7,3
7,嘉義縣大南國民小學,AirBox,2018-12-07,74DA38C7D1DE,1,2.0,1.0,23.558,120.554,9.0,3968.0,100.0,1.0,0.0,6.0,6.0,5.0,98.0,22.5,1544215119.0,20:38:39,2018-12-07T20:38:39Z,0.35.2,3
8,74DA38B0514E,AirBox,2018-12-07,74DA38B0514E,1,2.0,1.0,25.018,121.304,9.0,584.0,100.0,1.0,0.0,0.0,0.0,0.0,61.0,28.37,1544213917.0,20:18:37,2018-12-07T20:18:37Z,0.35.2,3
9,74DA38E2B588,AirBox,2018-12-07,74DA38E2B588,1,2.0,1.0,23.471,120.411,9.0,1821.0,100.0,1.0,0.0,0.0,0.0,0.0,58.0,28.87,1544216321.0,20:58:41,2018-12-07T20:58:41Z,0.35.2,3
